,Ship Mode,Segment,State,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit
0,Second Class,Consumer,Kentucky,South,Furniture,Bookcases,5.568191820349853,2,0.0,P
1,Second Class,Consumer,Kentucky,South,Furniture,Chairs,6.595698543388702,3,0.0,P
2,Second Class,Corporate,California,West,Office Supplies,Labels,2.6823904543216326,2,0.0,P
3,Standard Class,Consumer,Florida,South,Furniture,Tables,6.8644066577271206,5,0.45,L
4,Standard Class,Consumer,Florida,South,Office Supplies,Storage,3.1076313660514,2,0.2,P
5,Standard Class,Consumer,California,West,Furniture,Furnishings,3.8889590658295945,7,0.0,P
6,Standard Class,Consumer,California,West,Office Supplies,Art,1.9851308622085946,4,0.0,P
7,Standard Class,Consumer,California,West,Technology,Phones,6.810310021520792,6,0.2,P
8,Standard Class,Consumer,California,West,Office Supplies,Binders,2.917986924929138,3,0.2,P
9,Standard Class,Consumer,California,West,Office Supplies,Appliances,4.74406218485471,5,0.0,P
10,Standard Class,Consumer,California,West,Furniture,Tables,7.442014576866447,9,0.2,P
11,Standard Class,Consumer,California,West,Technology,Phones,6.815008211596963,4,0.2,P
12,Standard Class,Consumer,North Carolina,South,Office Supplies,Paper,2.7441892477180834,3,0.2,P
13,Standard Class,Consumer,Washington,West,Office Supplies,Binders,6.011208349144578,3,0.2,P
14,Standard Class,Home Office,Texas,Central,Office Supplies,Appliances,4.231349083214389,5,0.8,L
15,Standard Class,Home Office,Texas,Central,Office Supplies,Binders,0.9337376454778757,3,0.8,L
16,Standard Class,Consumer,Wisconsin,Central,Office Supplies,Storage,6.50110947412581,6,0.0,P
17,Second Class,Consumer,Utah,West,Office Supplies,Storage,4.0163830207523885,2,0.0,P
18,Second Class,Consumer,California,West,Office Supplies,Art,2.1471001901536506,2,0.0,P
19,Second Class,Consumer,California,West,Technology,Phones,5.363543151465744,3,0.2,P
20,Second Class,Consumer,California,West,Office Supplies,Binders,3.1232455938529506,4,0.2,P
21,Standard Class,Corporate,Nebraska,Central,Office Supplies,Art,2.968361076757859,7,0.0,P
22,Standard Class,Corporate,Nebraska,Central,Office Supplies,Appliances,4.099995233730915,7,0.0,P
23,Second Class,Consumer,Pennsylvania,East,Furniture,Chairs,4.267905635569182,2,0.3,L
24,Standard Class,Consumer,Utah,West,Furniture,Tables,6.951418034716751,3,0.0,P
25,Second Class,Consumer,California,West,Office Supplies,Binders,2.4551344914543303,2,0.2,P
26,Second Class,Consumer,California,West,Technology,Accessories,4.506123032386857,3,0.0,P
27,Standard Class,Consumer,Pennsylvania,East,Furniture,Bookcases,8.033797892698269,7,0.5,L
28,Standard Class,Consumer,Pennsylvania,East,Office Supplies,Binders,2.263636342855471,2,0.7,L
29,Standard Class,Consumer,Pennsylvania,East,Furniture,Furnishings,4.821893169499378,3,0.2,P
30,Standard Class,Consumer,Pennsylvania,East,Office Supplies,Envelopes,1.1829534371018604,2,0.2,P
31,Standard Class,Consumer,Pennsylvania,East,Office Supplies,Art,4.457875946957319,6,0.2,P
32,Standard Class,Consumer,Pennsylvania,East,Office Supplies,Binders,1.9254158540407285,6,0.7,L
33,Standard Class,Consumer,Pennsylvania,East,Office Supplies,Art,2.757475084429733,2,0.2,P
34,Second Class,Home Office,Texas,Central,Office Supplies,Paper,3.3834406600728966,3,0.2,P
35,First Class,Corporate,Texas,Central,Technology,Phones,7.000830235261872,7,0.2,P
36,First Class,Corporate,Texas,Central,Furniture,Furnishings,5.251854492137696,5,0.6,L
37,Standard Class,Home Office,Texas,Central,Office Supplies,Envelopes,4.730286269011267,9,0.2,P
38,Standard Class,Home Office,Texas,Central,Furniture,Bookcases,6.277393583890226,3,0.32,L
39,Standard Class,Home Office,Texas,Central,Furniture,Chairs,5.356859822160147,3,0.3,L
40,Standard Class,Home Office,Texas,Central,Technology,Phones,5.916654790299466,4,0.2,P
41,Standard Class,Corporate,Illinois,Central,Technology,Phones,4.991574791357514,4,0.2,P
42,Standard Class,Corporate,California,West,Office Supplies,Storage,4.3551691805039985,2,0.0,P
43,Standard Class,Corporate,Florida,South,Office Supplies,Storage,4.5603401700702975,2,0.2,P
44,First Class,Corporate,Minnesota,Central,Technology,Accessories,3.8282065193350356,2,0.0,P
45,First Class,Corporate,Minnesota,Central,Office Supplies,Binders,2.859912550411456,2,0.0,P
46,Second Class,Consumer,Michigan,Central,Office Supplies,Storage,5.356397577624562,4,0.0,P
47,Standard Class,Consumer,Delaware,East,Technology,Accessories,3.8066624897703196,3,0.0,P
48,Standard Class,Consumer,Delaware,East,Technology,Phones,3.0819099697950434,2,0.0,P
49,Standard Class,Consumer,Indiana,Central,Office Supplies,Binders,3.643358938812127,6,0.0,P
50,Standard Class,Consumer,Indiana,Central,Office Supplies,Labels,4.319885238136032,6,0.0,P
51,Standard Class,Consumer,Indiana,Central,Furniture,Furnishings,1.8180767775454285,2,0.0,P
52,Standard Class,Consumer,Indiana,Central,Furniture,Chairs,4.4996985530458575,1,0.0,P
53,Standard Class,Corporate,New York,East,Office Supplies,Fasteners,2.725235025856311,7,0.0,P
54,Standard Class,Corporate,New York,East,Technology,Phones,6.937265536356078,5,0.0,P
55,First Class,Consumer,New York,East,Office Supplies,Storage,5.340226769625247,6,0.0,P
56,First Class,Consumer,New York,East,Office Supplies,Paper,3.4781584227982836,5,0.0,P
57,First Class,Consumer,New York,East,Furniture,Chairs,5.766475543994624,5,0.1,P
58,First Class,Consumer,New York,East,Office Supplies,Paper,2.67827804276854,2,0.0,P
59,First Class,Consumer,New York,East,Technology,Accessories,3.4011973816621555,2,0.0,P
60,First Class,Consumer,New York,East,Office Supplies,Binders,3.881151341761059,4,0.2,P
61,First Class,Consumer,New York,East,Office Supplies,Art,0.5187937934151675,1,0.0,P
62,Standard Class,Consumer,California,West,Technology,Accessories,2.637627736805664,2,0.0,P
63,Standard Class,Consumer,California,West,Office Supplies,Binders,3.2513042920875384,6,0.2,P
64,Standard Class,Consumer,California,West,Office Supplies,Paper,4.988594163219376,3,0.0,P
65,Standard Class,Consumer,California,West,Furniture,Furnishings,4.379022125653583,4,0.0,P
66,Standard Class,Home Office,Illinois,Central,Furniture,Chairs,5.361831926115851,5,0.3,L
67,Standard Class,Corporate,Arizona,West,Office Supplies,Art,7.014835914385377,8,0.2,P
68,Standard Class,Corporate,Arizona,West,Technology,Phones,5.123773485069889,4,0.2,P
69,First Class,Consumer,Virginia,South,Office Supplies,Paper,4.3291531450668135,2,0.0,P
70,Standard Class,Consumer,New York,East,Office Supplies,Binders,1.5295285292057983,1,0.2,P
71,Second Class,Consumer,Michigan,Central,Office Supplies,Paper,2.94706710157271,3,0.0,P
72,Standard Class,Consumer,Tennessee,South,Furniture,Chairs,6.723755514785554,8,0.2,L
73,Standard Class,Consumer,Tennessee,South,Furniture,Furnishings,4.575123264635795,2,0.2,P
74,Standard Class,Consumer,Tennessee,South,Office Supplies,Storage,4.287496150827648,1,0.2,L
75,First Class,Corporate,Texas,Central,Office Supplies,Binders,0.22154226994723591,3,0.8,L
76,First Class,Corporate,Texas,Central,Furniture,Furnishings,2.272950287864355,3,0.6,L
77,First Class,Corporate,Texas,Central,Office Supplies,Storage,3.3046864812813115,3,0.2,P
78,Second Class,Consumer,Texas,Central,Furniture,Furnishings,2.9601050959108397,5,0.6,L
79,First Class,Corporate,Alabama,South,Office Supplies,Appliances,5.338307014764196,1,0.0,P
80,First Class,Corporate,Alabama,South,Office Supplies,Binders,2.817801065061329,3,0.0,P
81,Standard Class,Consumer,California,West,Office Supplies,Art,2.7013612129514133,5,0.0,P
82,Standard Class,Consumer,California,West,Office Supplies,Storage,3.062923523094314,1,0.0,P
83,Standard Class,Corporate,North Carolina,South,Office Supplies,Envelopes,5.3032253029006196,7,0.2,P
84,First Class,Home Office,Illinois,Central,Office Supplies,Storage,5.439712756729346,3,0.2,L
85,Second Class,Consumer,South Carolina,South,Furniture,Chairs,5.710294558271424,2,0.0,P
86,Standard Class,Consumer,Minnesota,Central,Technology,Accessories,2.995232148512309,1,0.0,P
87,Standard Class,Consumer,Minnesota,Central,Office Supplies,Labels,1.8180767775454285,2,0.0,P
88,Second Class,Home Office,Texas,Central,Office Supplies,Storage,5.064921438769476,7,0.2,P
89,Standard Class,Corporate,California,West,Office Supplies,Art,3.0007198150650303,3,0.0,P
90,Standard Class,Corporate,California,West,Technology,Phones,4.298427610797568,2,0.2,P
91,Standard Class,Corporate,California,West,Office Supplies,Paper,1.8687205103641833,1,0.0,P
92,Second Class,Consumer,Minnesota,Central,Office Supplies,Paper,2.561867690924129,2,0.0,P
93,Second Class,Consumer,Minnesota,Central,Furniture,Furnishings,3.9766865187538682,3,0.0,P
94,Second Class,Consumer,Minnesota,Central,Office Supplies,Binders,3.495294705041271,2,0.0,P
95,Standard Class,Home Office,Oregon,West,Office Supplies,Binders,1.7373032834319964,1,0.7,L
96,Second Class,Home Office,New York,East,Furniture,Furnishings,4.569853840860524,7,0.0,P
97,First Class,Consumer,California,West,Office Supplies,Binders,3.937924642950799,3,0.2,P
98,Standard Class,Corporate,Minnesota,Central,Office Supplies,Appliances,4.3551691805039985,6,0.0,P
99,Standard Class,Home Office,Illinois,Central,Office Supplies,Paper,4.168585858821057,7,0.2,P
100,Standard Class,Home Office,Illinois,Central,Technology,Accessories,4.564098160212627,3,0.2,L
101,Standard Class,Home Office,Illinois,Central,Office Supplies,Binders,0.5810976767513224,3,0.8,L
102,Second Class,Consumer,Minnesota,Central,Office Supplies,Paper,3.1747149290824312,4,0.0,P
103,Standard Class,Consumer,Colorado,West,Technology,Accessories,5.476028310784308,6,0.2,L
104,Standard Class,Consumer,Colorado,West,Furniture,Furnishings,4.628496011291588,3,0.2,L
105,Standard Class,Consumer,Colorado,West,Office Supplies,Binders,3.6077236271529274,3,0.7,L
106,Standard Class,Consumer,North Carolina,South,Technology,Accessories,4.305577462510476,8,0.2,P
107,Standard Class,Consumer,North Carolina,South,Technology,Phones,3.331918755065387,1,0.2,P
108,Standard Class,Consumer,North Carolina,South,Office Supplies,Art,1.1951338556587316,1,0.2,P
109,Standard Class,Home Office,Illinois,Central,Technology,Accessories,5.828827963630426,5,0.2,P
110,Standard Class,Corporate,New York,East,Furniture,Furnishings,3.7367167835280966,2,0.0,P
111,Standard Class,Consumer,Iowa,Central,Office Supplies,Art,4.330206885944085,2,0.0,P
112,Standard Class,Consumer,Iowa,Central,Office Supplies,Binders,3.3046864812813115,6,0.0,P
113,Second Class,Consumer,Ohio,East,Office Supplies,Fasteners,3.6912765787136577,14,0.2,P
